"","benchmark","class","run","timeBudget","tool","score"
"253","FESCAR-6","com.alibaba.fescar.core.rpc.netty.TmRpcClient",4,60,"evosuite",0
"254","FESCAR-7","com.alibaba.fescar.core.rpc.netty.MessageCodecHandler",4,60,"evosuite",2.06968331176471
"255","FESCAR-8","com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory",4,60,"evosuite",1.53100514958473
"256","FESCAR-9","com.alibaba.fescar.core.protocol.transaction.GlobalBeginRequest",4,60,"evosuite",7
"257","FESCAR-10","com.alibaba.fescar.core.model.BranchType",4,60,"evosuite",0
"258","FESCAR-12","com.alibaba.fescar.core.rpc.netty.RpcServerHandler",4,60,"evosuite",6.75
"259","FESCAR-13","com.alibaba.fescar.core.exception.TransactionExceptionCode",4,60,"evosuite",7
"260","FESCAR-15","com.alibaba.fescar.core.rpc.netty.RpcServer",4,60,"evosuite",0.00807147855771282
"261","FESCAR-17","com.alibaba.fescar.core.protocol.transaction.GlobalBeginResponse",4,60,"evosuite",7
"262","FESCAR-23","com.alibaba.fescar.core.protocol.MergeResultMessage",4,60,"evosuite",2.4761905
"263","FESCAR-25","com.alibaba.fescar.core.rpc.netty.RmMessageListener",4,60,"evosuite",2.21550884394447
"264","FESCAR-28","com.alibaba.fescar.core.rpc.ClientType",4,60,"evosuite",7
"265","FESCAR-32","com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest",4,60,"evosuite",6.68185624
"266","FESCAR-33","com.alibaba.fescar.core.model.GlobalStatus",4,60,"evosuite",7
"267","FESCAR-34","com.alibaba.fescar.core.protocol.ResultCode",4,60,"evosuite",7
"268","FESCAR-37","com.alibaba.fescar.core.rpc.RpcContext",4,60,"evosuite",2.77033795
"269","FESCAR-41","com.alibaba.fescar.core.rpc.netty.RmRpcClient",4,60,"evosuite",0
"270","FESCAR-42","com.alibaba.fescar.core.rpc.DefaultServerMessageListenerImpl",4,60,"evosuite",0.895507379269729
"271","SPOON-105","spoon.support.compiler.jdt.PositionBuilder",4,60,"evosuite",0.337201256092375
"272","SPOON-155","spoon.reflect.visitor.filter.AllMethodsSameSignatureFunction",4,60,"evosuite",0
"273","SPOON-169","spoon.reflect.visitor.ImportScannerImpl",4,60,"evosuite",0
"274","SPOON-16","spoon.reflect.path.CtElementPathBuilder",4,60,"evosuite",1.7280104
