"","benchmark","class","tool","budget","config","score.mean","score.sd"
"78","GUAVA-240","com.google.common.collect.FilteredMultimapValues","evosuite",180,"GUAVA-240_com.google.common.collect.FilteredMultimapValues_180",0.326923088,0.519903023666043
"79","GUAVA-240","com.google.common.collect.FilteredMultimapValues","randoop",60,"GUAVA-240_com.google.common.collect.FilteredMultimapValues_60",0.037312092268581,0.000114263383994365
"80","GUAVA-240","com.google.common.collect.FilteredMultimapValues","randoop",180,"GUAVA-240_com.google.common.collect.FilteredMultimapValues_180",0.0380702551876695,3.83282686540377e-05
"81","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider","evosuite",60,"PDFBOX-8_org.apache.pdfbox.pdmodel.font.FileSystemFontProvider_60",2.78587567614759,1.15414645809347
"82","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider","evosuite",180,"PDFBOX-8_org.apache.pdfbox.pdmodel.font.FileSystemFontProvider_180",3.27617070877778,0.581705913824779
"83","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider","randoop",60,"PDFBOX-8_org.apache.pdfbox.pdmodel.font.FileSystemFontProvider_60",1.78566953110134,0.024122520391149
"84","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider","randoop",180,"PDFBOX-8_org.apache.pdfbox.pdmodel.font.FileSystemFontProvider_180",1.82483209762831,0.019350846249072
"85","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret","evosuite",60,"PDFBOX-22_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret_60",2.31855985090909,0.903766717915566
"86","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret","evosuite",180,"PDFBOX-22_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret_180",3.18174602,1.08197635399168
"87","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret","randoop",60,"PDFBOX-22_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret_60",1.9285726945056,0.0161825297063709
"88","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret","randoop",180,"PDFBOX-22_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret_180",2.00397246495695,0.00410429646128203
"89","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider","evosuite",60,"PDFBOX-26_org.apache.pdfbox.pdmodel.encryption.SecurityProvider_60",6.557894742,0.0443828368081568
"90","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider","evosuite",180,"PDFBOX-26_org.apache.pdfbox.pdmodel.encryption.SecurityProvider_180",6.168421056,1.26164626948631
"91","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider","randoop",60,"PDFBOX-26_org.apache.pdfbox.pdmodel.encryption.SecurityProvider_60",5.33453097936111,0.00954487703694225
"92","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider","randoop",180,"PDFBOX-26_org.apache.pdfbox.pdmodel.encryption.SecurityProvider_180",5.42801942165022,0.00418337898378301
"93","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2","evosuite",60,"PDFBOX-40_org.apache.pdfbox.pdmodel.font.PDCIDFontType2_60",1.46835641411072,0.781578984590641
"94","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2","evosuite",180,"PDFBOX-40_org.apache.pdfbox.pdmodel.font.PDCIDFontType2_180",1.47708538441355,1.02991228325998
"95","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2","randoop",60,"PDFBOX-40_org.apache.pdfbox.pdmodel.font.PDCIDFontType2_60",0.00762461490367551,1.03876370362012e-05
"96","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2","randoop",180,"PDFBOX-40_org.apache.pdfbox.pdmodel.font.PDCIDFontType2_180",0.00779345699316271,8.49033280039018e-06
"97","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer","evosuite",60,"PDFBOX-62_org.apache.pdfbox.rendering.PageDrawer_60",0.040095136576335,0.100931277133838
"98","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer","evosuite",180,"PDFBOX-62_org.apache.pdfbox.rendering.PageDrawer_180",0.149746109181818,0.245321943847037
"99","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer","randoop",60,"PDFBOX-62_org.apache.pdfbox.rendering.PageDrawer_60",0.0527614501972478,0.0001559398252837
"100","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer","randoop",180,"PDFBOX-62_org.apache.pdfbox.rendering.PageDrawer_180",0.0539628782233843,4.65394639494908e-05
"101","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode","evosuite",60,"PDFBOX-83_org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode_60",6.02857145571429,1.16079670710052
"102","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode","evosuite",180,"PDFBOX-83_org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode_180",6.3571429,0
"103","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode","randoop",60,"PDFBOX-83_org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode_60",0.565514700082927,0.0126452653452317
"104","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode","randoop",180,"PDFBOX-83_org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode_180",0.626989239860163,0.00219216541824777
"105","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent","evosuite",60,"PDFBOX-91_org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent_60",2.3407895,0.770768913032714
"106","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent","evosuite",180,"PDFBOX-91_org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent_180",2.82894737,0.540915910562047
"107","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent","randoop",60,"PDFBOX-91_org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent_60",0.146878513635368,0.00182335936479642
"108","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent","randoop",180,"PDFBOX-91_org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent_180",0.154415419971796,0.000435144112007943
"109","PDFBOX-117","org.apache.pdfbox.filter.Predictor","evosuite",60,"PDFBOX-117_org.apache.pdfbox.filter.Predictor_60",2.55960731617527,0.332024659268005
"110","PDFBOX-117","org.apache.pdfbox.filter.Predictor","evosuite",180,"PDFBOX-117_org.apache.pdfbox.filter.Predictor_180",3.89773094498876,1.92263379635515
"111","PDFBOX-117","org.apache.pdfbox.filter.Predictor","randoop",60,"PDFBOX-117_org.apache.pdfbox.filter.Predictor_60",0.834289674776018,0.00495720691979503
"112","PDFBOX-117","org.apache.pdfbox.filter.Predictor","randoop",180,"PDFBOX-117_org.apache.pdfbox.filter.Predictor_180",0,0
"113","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser","evosuite",60,"PDFBOX-127_org.apache.pdfbox.pdfparser.PDFObjectStreamParser_60",3.095635038,1.03690592111537
"114","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser","evosuite",180,"PDFBOX-127_org.apache.pdfbox.pdfparser.PDFObjectStreamParser_180",3.549900894,0.891774706169501
"115","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser","randoop",60,"PDFBOX-127_org.apache.pdfbox.pdfparser.PDFObjectStreamParser_60",0.0302774612778833,7.54831107652416e-05
"116","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser","randoop",180,"PDFBOX-127_org.apache.pdfbox.pdfparser.PDFObjectStreamParser_180",0.0309374215413792,1.82731675274559e-05
"117","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner","evosuite",60,"PDFBOX-130_org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner_60",0.1630344828,0.255929634299527
"118","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner","evosuite",180,"PDFBOX-130_org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner_180",0.2781149456,0.15557669325942
"119","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner","randoop",60,"PDFBOX-130_org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner_60",0.093645557743987,0.000113521824054026
"120","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner","randoop",180,"PDFBOX-130_org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner_180",0.0954935749264281,0.000119427257499916
"121","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font","evosuite",60,"PDFBOX-157_org.apache.pdfbox.pdmodel.font.PDType1Font_60",0.0278346126,0.0880207736044213
"122","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font","evosuite",180,"PDFBOX-157_org.apache.pdfbox.pdmodel.font.PDType1Font_180",0,0
"123","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font","randoop",60,"PDFBOX-157_org.apache.pdfbox.pdmodel.font.PDType1Font_60",2.82420824335711,0.0172296072889381
"124","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font","randoop",180,"PDFBOX-157_org.apache.pdfbox.pdmodel.font.PDType1Font_180",2.95532725849299,0.00452341024273319
"125","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine","evosuite",60,"PDFBOX-198_org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine_60",1.48035355960451,0.734370975092242
