tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,FESCAR-2,com.alibaba.fescar.core.service.ServiceManagerStaticConfigImpl,8,239,47011,4783,3,0,0,0,19,6,31.578945,10,0,0.0,7,0,0.0,0,0.0,7,60,2
evosuite,PDFBOX-198,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine,2,252,55843,160315,55,0,1,0,144,96,66.66667,82,27,32.92683,92,51,55.43478,0,0.0,92,60,2
evosuite,FESCAR-12,com.alibaba.fescar.core.rpc.netty.RpcServerHandler,9,254,47127,6124,12,0,0,0,26,26,100.0,8,7,87.5,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-181,com.google.common.primitives.SignedBytes,8,235,43632,1143,32,0,0,0,38,38,100.0,22,22,100.0,42,42,100.0,42,100.0,0,60,2
evosuite,GUAVA-22,com.google.common.graph.Graphs,5,267,55724,5200,48,0,0,0,153,68,44.444447,108,46,42.592594,101,59,58.41584,0,0.0,101,60,2
evosuite,PDFBOX-127,org.apache.pdfbox.pdfparser.PDFObjectStreamParser,2,238,51979,12235,7,0,0,0,32,17,53.125,14,5,35.714287,18,8,44.444447,8,44.444447,10,60,2
evosuite,PDFBOX-117,org.apache.pdfbox.filter.Predictor,9,227,57930,47296,70,0,1,0,110,85,77.27273,69,45,65.21739,175,121,69.14285,0,0.0,175,60,2
evosuite,FESCAR-8,com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory,4,233,67566,92218,19,0,1,0,60,37,61.666668,36,21,58.333332,30,20,66.66667,0,0.0,30,60,2
evosuite,SPOON-211,spoon.reflect.path.impl.CtRolePathElement,1,235,63695,203169,10,0,0,0,59,11,18.644068,39,3,7.692308,24,5,20.833332,5,20.833332,19,60,2
evosuite,FESCAR-32,com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest,9,223,55430,8663,29,0,0,0,52,51,98.07692,16,15,93.75,23,22,95.652176,22,95.652176,1,60,2
evosuite,PDFBOX-235,org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder,10,239,48446,18,0,0,0,0,34,0,0.0,8,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,FESCAR-12,com.alibaba.fescar.core.rpc.netty.RpcServerHandler,6,236,48238,6351,12,0,0,0,26,26,100.0,8,7,87.5,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-47,com.google.common.collect.FilteredEntryMultimap,9,234,121008,15,0,0,0,0,38,0,0.0,14,0,0.0,0,0,0.0,0,0.0,0,60,0
